CVE,Code,Package,Version
CVE-1999-0150,0,,
CVE-1999-0163,0,,
CVE-1999-0199,2,glibc,2.2-1
CVE-1999-0199,1,glibc (PTS),2.31-13+deb11u11
CVE-1999-0236,0,,
CVE-1999-0428,0,,
CVE-1999-0475,0,,
CVE-1999-0524,0,,
CVE-1999-0612,0,,
CVE-1999-0656,0,,
CVE-1999-0710,2,squid,2.4.6-2woody4
CVE-1999-0710,1,squid (PTS),4.13-10+deb11u3
CVE-1999-0901,0,,
CVE-1999-0902,0,,
CVE-1999-0965,0,,
CVE-1999-1332,2,gzip,1.3.2-3woody1
CVE-1999-1332,1,gzip (PTS),1.10-4+deb11u1
CVE-1999-1412,0,,
CVE-1999-1572,2,cpio,2.4.2-39woody1
CVE-1999-1572,1,cpio (PTS),2.13+dfsg-7.1~deb11u1
CVE-2000-0006,0,,
CVE-2000-0062,0,,
CVE-2000-0483,0,,
CVE-2000-0725,0,,
CVE-2000-0759,0,,
CVE-2000-0803,0,,
CVE-2000-0992,2,openssh,1:3.9p1-1
CVE-2000-0992,1,openssh (PTS),1:8.4p1-5+deb11u3
CVE-2000-1210,0,,
CVE-2000-1211,0,,
CVE-2000-1212,0,,
CVE-2000-1219,2,gcc-3.3,1:3.3.4-1
CVE-2000-1219,1,gcc-3.3 (PTS),1:3.3.6ds1-32
CVE-2000-1220,2,lpr,1:0.48-1
CVE-2000-1220,1,lpr (PTS),1:2008.05.17.3
CVE-2000-1221,2,lpr,1:0.48-1
CVE-2000-1221,1,lpr (PTS),1:2008.05.17.3
CVE-2000-1226,0,,
CVE-2000-1254,2,openssl,0.9.6-1
CVE-2000-1254,1,openssl (PTS),1.1.1w-0+deb11u1
CVE-2001-0131,0,,
CVE-2001-0590,0,,
CVE-2001-0735,2,cfingerd,1.4.3-1.1
CVE-2001-0735,1,cfingerd (PTS),1.4.3-5
CVE-2001-0775,2,xli,1.17.0-11woody1
CVE-2001-0775,1,xli (PTS),1.17.0+20061110-6
CVE-2001-0829,0,,
CVE-2001-1034,2,hylafax,1:4.1.1-1.1
CVE-2001-1034,1,hylafax (PTS),3:6.0.7-3.1
CVE-2001-1413,2,ncompress,4.2.4-15
CVE-2001-1413,1,ncompress (PTS),4.2.4.6-4
CVE-2001-1442,2,inn2,2.3.3+20020922-1
CVE-2001-1442,2,innfeed,0.10.1.7-7
CVE-2001-1442,1,inn2 (PTS),2.6.4-2
CVE-2001-1459,2,openssh,1:3.0.1p1-1
CVE-2001-1459,1,openssh (PTS),1:8.4p1-5+deb11u3
CVE-2001-1494,2,util-linux,2.11n-1
CVE-2001-1494,1,util-linux (PTS),2.36.1-8+deb11u2
CVE-2001-1505,2,tinc,1.0pre5-1
CVE-2001-1505,1,tinc (PTS),1.0.36-2
CVE-2001-1507,2,openssh,1:3.0.1
CVE-2001-1507,1,openssh (PTS),1:8.4p1-5+deb11u3
CVE-2001-1534,2,apache,(unfixed)
CVE-2001-1534,2,apache2,(unfixed)
CVE-2001-1534,1,apache2 (PTS),2.4.62-1~deb11u1
CVE-2001-1558,0,,
CVE-2001-1562,2,nvi,1.79-16a.1
CVE-2001-1562,1,nvi (PTS),1.81.6-16
CVE-2001-1566,2,vanessa-logger,0.0.2
CVE-2001-1566,1,vanessa-logger (PTS),0.0.10-3.1
CVE-2001-1593,2,a2ps,1:4.14-1.1+deb6u1
CVE-2001-1593,1,a2ps (PTS),1:4.14-7
CVE-2002-0129,0,,
CVE-2002-0130,0,,
CVE-2002-0318,0,,
CVE-2002-0380,2,tcpdump,3.6.2-2.3
CVE-2002-0380,1,tcpdump (PTS),4.99.0-2+deb11u1
CVE-2002-0388,0,,
CVE-2002-0389,0,,
CVE-2002-0391,2,acm,5.0-3.woody.1
CVE-2002-0391,2,dietlibc,0.12-2.4
CVE-2002-0391,2,glibc,2.2.5-11.1
CVE-2002-0391,2,krb5,1.2.4-5woody1
CVE-2002-0391,2,openafs,1.2.3final2-6
CVE-2002-0391,1,acm (PTS),6.0+20200416-1
CVE-2002-0391,1,dietlibc (PTS),0.34~cvs20160606-12
CVE-2002-0391,1,glibc (PTS),2.31-13+deb11u11
CVE-2002-0391,1,krb5 (PTS),1.18.3-6+deb11u5
CVE-2002-0391,1,openafs (PTS),1.8.6-5
CVE-2002-0392,2,apache2,2.0.37
CVE-2002-0392,1,apache2 (PTS),2.4.62-1~deb11u1
CVE-2002-0639,2,openssh,1:3.4
CVE-2002-0639,1,openssh (PTS),1:8.4p1-5+deb11u3
CVE-2002-0640,2,openssh,1:3.4
CVE-2002-0640,1,openssh (PTS),1:8.4p1-5+deb11u3
CVE-2002-0651,2,glibc,2.2.5-8
CVE-2002-0651,1,glibc (PTS),2.31-13+deb11u11
CVE-2002-0654,2,apache2,2.0.40
CVE-2002-0654,1,apache2 (PTS),2.4.62-1~deb11u1
CVE-2002-0655,2,openssl,0.9.6c-2.woody.1
CVE-2002-0655,2,openssl094,0.9.4-6.woody.2
CVE-2002-0655,2,openssl095,0.9.5a-6.woody.1
CVE-2002-0655,1,openssl (PTS),1.1.1w-0+deb11u1
CVE-2002-0656,2,openssl,0.9.6c-2.woody.1
CVE-2002-0656,2,openssl094,0.9.4-6.woody.2
CVE-2002-0656,2,openssl095,0.9.5a-6.woody.1
CVE-2002-0656,1,openssl (PTS),1.1.1w-0+deb11u1
CVE-2002-0657,2,openssl,0.9.6c-2.woody.1
CVE-2002-0657,2,openssl094,0.9.4-6.woody.2
CVE-2002-0657,2,openssl095,0.9.5a-6.woody.1
CVE-2002-0657,1,openssl (PTS),1.1.1w-0+deb11u1
CVE-2002-0658,2,mm,1.1.3-6.1
CVE-2002-0658,1,mm (PTS),1.4.2-6
CVE-2002-0659,2,openssl,0.9.6c-2.woody.1
CVE-2002-0659,2,openssl094,0.9.4-6.woody.2
CVE-2002-0659,2,openssl095,0.9.5a-6.woody.1
CVE-2002-0659,1,openssl (PTS),1.1.1w-0+deb11u1
CVE-2002-0661,2,apache2,2.0.40
CVE-2002-0661,1,apache2 (PTS),2.4.62-1~deb11u1
CVE-2002-0684,2,glibc,2.2.5-8
CVE-2002-0684,1,glibc (PTS),2.31-13+deb11u11
CVE-2002-0703,2,perl,5.8.0-7
CVE-2002-0703,1,perl (PTS),5.32.1-4+deb11u3
CVE-2002-0713,2,squid,2.4.6-2
CVE-2002-0713,1,squid (PTS),4.13-10+deb11u3
CVE-2002-0714,2,squid,2.4.6
CVE-2002-0714,1,squid (PTS),4.13-10+deb11u3
CVE-2002-0715,2,squid,2.4.6-2
CVE-2002-0715,1,squid (PTS),4.13-10+deb11u3
CVE-2002-0738,2,mhonarc,2.5.2-1.1
CVE-2002-0738,1,mhonarc (PTS),2.6.19-2.1
CVE-2002-0740,2,slrn,0.9.6.2-9
CVE-2002-0740,1,slrn (PTS),1.0.3+dfsg-5
CVE-2002-0765,2,openssh,1:3.3p1-0.0woody1
CVE-2002-0765,1,openssh (PTS),1:8.4p1-5+deb11u3
CVE-2002-0817,2,super,3.16.1-1.2
CVE-2002-0817,1,super (PTS),3.30.3-1
CVE-2002-0825,2,libnss-ldap,199-1
CVE-2002-0825,1,libnss-ldap (PTS),265-6
CVE-2002-0838,2,gnome-gv,1.1.96-3.1
CVE-2002-0838,2,gv,3.5.8-26.1
CVE-2002-0838,2,kdegraphics,2.2.2-6.8
CVE-2002-0838,1,gv (PTS),1:3.7.4-2
CVE-2002-0840,2,apache,1.3.26-0woody
CVE-2002-0840,2,apache-perl,1.3.26-1-1.26-0woody2
CVE-2002-0840,2,apache-ssl,1.3.26.1+1.48-0woody3
CVE-2002-0840,2,apache2,2.0.43-1
CVE-2002-0840,1,apache2 (PTS),2.4.62-1~deb11u1
CVE-2002-0844,2,cvs,1:1.11.2
CVE-2002-0844,1,cvs (PTS),2:1.12.13+real-28
CVE-2002-0847,2,tinyproxy,1.4.3-2woody2
CVE-2002-0847,1,tinyproxy (PTS),1.10.0-5
CVE-2002-0851,0,,
CVE-2002-0855,0,,
CVE-2002-0871,2,xinetd,1:2.3.4-1.2
CVE-2002-0871,1,xinetd (PTS),1:2.3.15.3-1
CVE-2002-0875,2,fam,2.6.6.1-5.2
CVE-2002-0875,1,fam (PTS),2.7.0-17.3
CVE-2002-0896,2,swatch,3.0.4-1
CVE-2002-0896,1,swatch (PTS),3.2.4-4
CVE-2002-0901,2,amanda,2.4.0b6-1
CVE-2002-0901,1,amanda (PTS),1:3.5.1-7
CVE-2002-0904,0,,
CVE-2002-0906,2,sendmail,8.12.5
CVE-2002-0906,1,sendmail (PTS),8.15.2-22+deb11u3
CVE-2002-0914,2,courier,0.46
CVE-2002-0914,1,courier (PTS),1.0.16-3
CVE-2002-0916,2,squid,2.4.7
CVE-2002-0916,1,squid (PTS),4.13-10+deb11u3
CVE-2002-1049,2,hylafax,1:4.1.1-1.1
CVE-2002-1049,1,hylafax (PTS),3:6.0.7-3.1
CVE-2002-1050,2,hylafax,1:4.1.1-1.1
CVE-2002-1050,1,hylafax (PTS),3:6.0.7-3.1
CVE-2002-1090,2,libesmtp,0.8.11-1
