CVE,Code,Severity
CVE-1999-0150,1,7.5 HIGH
CVE-1999-0163,1,7.2 HIGH
CVE-1999-0199,1,9.8 CRITICAL
CVE-1999-0236,1,7.5 HIGH
CVE-1999-0428,1,7.5 HIGH
CVE-1999-0475,1,1.2 LOW
CVE-1999-0524,1,2.1 LOW
CVE-1999-0612,1,0.0 LOW
CVE-1999-0656,1,5.0 MEDIUM
CVE-1999-0710,1,7.5 HIGH
CVE-1999-0901,1,7.2 HIGH
CVE-1999-0902,1,7.2 HIGH
CVE-1999-0965,1,6.2 MEDIUM
CVE-1999-1332,1,2.1 LOW
CVE-1999-1412,1,5.0 MEDIUM
CVE-1999-1572,1,2.1 LOW
CVE-2000-0006,1,2.6 LOW
CVE-2000-0062,1,10.0 HIGH
CVE-2000-0483,1,7.5 HIGH
CVE-2000-0725,1,7.2 HIGH
CVE-2000-0759,1,6.4 MEDIUM
CVE-2000-0803,1,10.0 HIGH
CVE-2000-0992,1,5.0 MEDIUM
CVE-2000-1210,1,5.0 MEDIUM
CVE-2000-1211,1,7.5 HIGH
CVE-2000-1212,1,5.0 MEDIUM
CVE-2000-1219,1,7.5 HIGH
CVE-2000-1220,1,10.0 HIGH
CVE-2000-1221,1,10.0 HIGH
CVE-2000-1226,1,5.0 MEDIUM
CVE-2000-1254,1,7.5 HIGH
CVE-2001-0131,1,3.3 LOW
CVE-2001-0590,1,5.0 MEDIUM
CVE-2001-0735,1,7.2 HIGH
CVE-2001-0775,1,7.5 HIGH
CVE-2001-0829,1,5.1 MEDIUM
CVE-2001-1034,1,7.2 HIGH
CVE-2001-1413,1,7.5 HIGH
CVE-2001-1442,1,4.6 MEDIUM
CVE-2001-1459,1,7.5 HIGH
CVE-2001-1494,1,5.5 MEDIUM
CVE-2001-1505,1,5.0 MEDIUM
CVE-2001-1507,1,7.5 HIGH
CVE-2001-1534,1,2.1 LOW
CVE-2001-1558,1,5.0 MEDIUM
CVE-2001-1562,1,7.2 HIGH
CVE-2001-1566,1,7.5 HIGH
CVE-2001-1593,1,2.1 LOW
CVE-2002-0129,1,2.1 LOW
CVE-2002-0130,1,7.2 HIGH
CVE-2002-0318,1,5.0 MEDIUM
CVE-2002-0380,1,7.5 HIGH
CVE-2002-0388,1,7.5 HIGH
CVE-2002-0389,1,2.1 LOW
CVE-2002-0391,1,9.8 CRITICAL
CVE-2002-0392,1,7.5 HIGH
CVE-2002-0639,1,9.8 CRITICAL
CVE-2002-0640,1,10.0 HIGH
CVE-2002-0651,1,7.5 HIGH
CVE-2002-0654,1,5.0 MEDIUM
CVE-2002-0655,1,7.5 HIGH
CVE-2002-0656,1,7.5 HIGH
CVE-2002-0657,1,7.5 HIGH
CVE-2002-0658,1,6.2 MEDIUM
CVE-2002-0659,1,5.0 MEDIUM
CVE-2002-0661,1,7.5 HIGH
CVE-2002-0684,1,7.5 HIGH
CVE-2002-0703,1,7.5 HIGH
CVE-2002-0713,1,7.5 HIGH
CVE-2002-0714,1,7.5 HIGH
CVE-2002-0715,1,5.0 MEDIUM
CVE-2002-0738,1,7.5 HIGH
CVE-2002-0740,1,7.2 HIGH
CVE-2002-0765,1,7.5 HIGH
CVE-2002-0817,1,7.2 HIGH
CVE-2002-0825,1,7.5 HIGH
CVE-2002-0838,1,4.6 MEDIUM
CVE-2002-0840,1,6.8 MEDIUM
CVE-2002-0844,1,7.8 HIGH
CVE-2002-0847,1,7.5 HIGH
CVE-2002-0851,1,7.2 HIGH
CVE-2002-0855,1,7.5 HIGH
CVE-2002-0871,1,2.1 LOW
CVE-2002-0875,1,2.1 LOW
CVE-2002-0896,1,5.0 MEDIUM
CVE-2002-0901,1,10.0 HIGH
CVE-2002-0904,1,7.5 HIGH
CVE-2002-0906,1,7.5 HIGH
CVE-2002-0914,1,5.0 MEDIUM
CVE-2002-0916,1,7.5 HIGH
CVE-2002-1049,1,5.0 MEDIUM
CVE-2002-1050,1,7.5 HIGH
CVE-2002-1090,1,7.5 HIGH
CVE-2002-1124,1,7.2 HIGH
CVE-2002-1146,1,5.0 MEDIUM
CVE-2002-1154,1,5.0 MEDIUM
CVE-2002-1156,1,5.0 MEDIUM
CVE-2002-1158,1,7.2 HIGH
CVE-2002-1159,1,6.4 MEDIUM
CVE-2002-1165,1,4.6 MEDIUM
CVE-2002-1170,1,5.0 MEDIUM
CVE-2002-1174,1,7.5 HIGH
CVE-2002-1175,1,5.0 MEDIUM
CVE-2002-1200,1,7.5 HIGH
CVE-2002-1215,1,10.0 HIGH
CVE-2002-1216,1,5.0 MEDIUM
CVE-2002-1225,1,10.0 HIGH
CVE-2002-1226,1,10.0 HIGH
CVE-2002-1227,1,7.5 HIGH
CVE-2002-1232,1,5.0 MEDIUM
CVE-2002-1235,1,10.0 HIGH
CVE-2002-1271,1,7.5 HIGH
CVE-2002-1275,1,7.5 HIGH
CVE-2002-1277,1,7.5 HIGH
CVE-2002-1307,1,6.8 MEDIUM
CVE-2002-1311,1,4.6 MEDIUM
CVE-2002-1313,1,2.1 LOW
CVE-2002-1318,1,10.0 HIGH
CVE-2002-1323,1,4.6 MEDIUM
CVE-2002-1335,1,4.3 MEDIUM
CVE-2002-1336,1,7.5 HIGH
CVE-2002-1337,1,10.0 HIGH
CVE-2002-1342,1,7.5 HIGH
CVE-2002-1344,1,5.0 MEDIUM
CVE-2002-1347,1,9.8 CRITICAL
CVE-2002-1348,1,5.0 MEDIUM
CVE-2002-1350,1,7.5 HIGH
CVE-2002-1365,1,7.5 HIGH
CVE-2002-1366,1,6.2 MEDIUM
CVE-2002-1367,1,10.0 HIGH
CVE-2002-1368,1,7.5 HIGH
CVE-2002-1369,1,10.0 HIGH
CVE-2002-1371,1,7.5 HIGH
CVE-2002-1372,1,7.5 HIGH
CVE-2002-1377,1,4.6 MEDIUM
CVE-2002-1381,1,7.2 HIGH
CVE-2002-1383,1,10.0 HIGH
CVE-2002-1384,1,7.2 HIGH
CVE-2002-1388,1,4.3 MEDIUM
CVE-2002-1389,1,4.6 MEDIUM
CVE-2002-1390,1,5.0 MEDIUM
CVE-2002-1391,1,7.5 HIGH
CVE-2002-1392,1,2.1 LOW
CVE-2002-1395,1,2.1 LOW
CVE-2002-1403,1,7.2 HIGH
CVE-2002-1405,1,5.0 MEDIUM
CVE-2002-1424,1,5.0 MEDIUM
CVE-2002-1425,1,6.4 MEDIUM
CVE-2002-1471,1,5.0 MEDIUM
CVE-2002-1477,1,7.5 HIGH
CVE-2002-1478,1,10.0 HIGH
CVE-2002-1479,1,4.6 MEDIUM
CVE-2002-1563,1,1.2 LOW
CVE-2002-1565,1,7.5 HIGH
CVE-2002-1566,1,5.0 MEDIUM
CVE-2002-1568,1,5.0 MEDIUM
CVE-2002-1569,1,7.5 HIGH
CVE-2002-1580,1,7.5 HIGH
CVE-2002-1592,1,5.0 MEDIUM
CVE-2002-1593,1,5.0 MEDIUM
CVE-2002-1653,1,5.0 MEDIUM
CVE-2002-1697,1,7.5 HIGH
CVE-2002-1746,1,5.0 MEDIUM
CVE-2002-1747,1,5.0 MEDIUM
CVE-2002-1755,1,5.0 MEDIUM
CVE-2002-1765,1,5.0 MEDIUM
CVE-2002-1782,1,2.1 LOW
CVE-2002-1788,1,7.5 HIGH
CVE-2002-1827,1,2.1 LOW
CVE-2002-1850,1,7.5 HIGH
CVE-2002-1896,1,7.2 HIGH
CVE-2002-1914,1,5.5 MEDIUM
CVE-2002-1956,1,2.1 LOW
CVE-2002-1976,1,2.1 LOW
CVE-2002-2016,1,7.2 HIGH
CVE-2002-2047,1,10.0 HIGH
CVE-2002-2097,1,5.0 MEDIUM
CVE-2002-2102,1,5.0 MEDIUM
CVE-2002-2196,1,7.5 HIGH
CVE-2002-2207,1,10.0 HIGH
CVE-2002-2227,1,10.0 HIGH
CVE-2002-2261,1,7.5 HIGH
CVE-2002-2267,1,7.2 HIGH
CVE-2002-2439,1,7.8 HIGH
CVE-2002-2443,1,5.0 MEDIUM
CVE-2003-0015,1,7.5 HIGH
CVE-2003-0020,1,5.0 MEDIUM
CVE-2003-0021,1,5.0 MEDIUM
CVE-2003-0028,1,7.5 HIGH
CVE-2003-0031,1,7.5 HIGH
CVE-2003-0032,1,5.0 MEDIUM
CVE-2003-0033,1,10.0 HIGH
CVE-2003-0038,1,4.3 MEDIUM
CVE-2003-0040,1,7.5 HIGH
CVE-2003-0042,1,5.0 MEDIUM
CVE-2003-0044,1,6.8 MEDIUM
CVE-2003-0045,1,5.0 MEDIUM
CVE-2003-0048,1,4.6 MEDIUM
CVE-2003-0058,1,5.0 MEDIUM
CVE-2003-0059,1,7.5 HIGH
CVE-2003-0060,1,7.5 HIGH
CVE-2003-0068,1,7.5 HIGH
CVE-2003-0069,1,7.5 HIGH
CVE-2003-0070,1,6.8 MEDIUM
CVE-2003-0072,1,5.0 MEDIUM
CVE-2003-0074,1,7.2 HIGH
CVE-2003-0078,1,5.0 MEDIUM
CVE-2003-0082,1,5.0 MEDIUM
CVE-2003-0083,1,5.0 MEDIUM
CVE-2003-0085,1,10.0 HIGH
CVE-2003-0086,1,1.2 LOW
CVE-2003-0093,1,5.0 MEDIUM
CVE-2003-0098,1,10.0 HIGH
CVE-2003-0099,1,7.2 HIGH
CVE-2003-0102,1,4.6 MEDIUM
CVE-2003-0107,1,7.5 HIGH
CVE-2003-0108,1,5.0 MEDIUM
CVE-2003-0120,1,1.2 LOW
CVE-2003-0128,1,5.0 MEDIUM
CVE-2003-0129,1,5.0 MEDIUM
CVE-2003-0130,1,5.0 MEDIUM
CVE-2003-0131,1,7.5 HIGH
CVE-2003-0132,1,5.0 MEDIUM
CVE-2003-0133,1,5.0 MEDIUM
CVE-2003-0134,1,5.0 MEDIUM
CVE-2003-0136,1,2.1 LOW
CVE-2003-0138,1,7.5 HIGH
CVE-2003-0139,1,7.5 HIGH
CVE-2003-0140,1,7.5 HIGH
CVE-2003-0144,1,7.2 HIGH
CVE-2003-0145,1,5.0 MEDIUM
CVE-2003-0146,1,7.5 HIGH
CVE-2003-0147,1,5.0 MEDIUM
